date,sku,manufacturer,name,salesRankShortTerm,salesRankMediumTerm,salesRankLongTerm,bestSellingRank,customerReviewAverage,customerReviewCount,image,url
2017_09_08,4863102,Sharp,"Sharp - 50"" Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV Roku TV",658.0,581.0,471,509,4.6,2981.0,https://img.bbystatic.com/BestBuy_US/images/products/4863/4863102_sa.jpg,https://api.bestbuy.com/click/-/4863102/pdp
2017_09_08,5748207,Sony,"Sony - 65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",669.0,403.0,346,371,4.8,815.0,https://img.bbystatic.com/BestBuy_US/images/products/5748/5748207_sa.jpg,https://api.bestbuy.com/click/-/5748207/pdp
2017_09_08,5773800,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",727.0,427.0,378,403,4.7,634.0,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773800_sa.jpg,https://api.bestbuy.com/click/-/5773800/pdp
2017_09_08,5754304,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",728.0,281.0,263,287,4.7,313.0,https://img.bbystatic.com/BestBuy_US/images/products/5754/5754304_sa.jpg,https://api.bestbuy.com/click/-/5754304/pdp
2017_09_08,5748209,Sony,"Sony - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",741.0,466.0,537,520,4.7,517.0,https://img.bbystatic.com/BestBuy_US/images/products/5748/5748209_sa.jpg,https://api.bestbuy.com/click/-/5748209/pdp
2017_09_08,5748208,Sony,"Sony - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",750.0,513.0,457,479,4.8,243.0,https://img.bbystatic.com/BestBuy_US/images/products/5748/5748208_sa.jpg,https://api.bestbuy.com/click/-/5748208/pdp
2017_09_08,5865001,LG,"LG - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",754.0,455.0,425,441,4.5,53.0,https://img.bbystatic.com/BestBuy_US/images/products/5865/5865001_sa.jpg,https://api.bestbuy.com/click/-/5865001/pdp
2017_09_08,5684501,Insignia™,"Insignia™ - 50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV Roku TV",764.0,592.0,301,357,4.4,188.0,https://img.bbystatic.com/BestBuy_US/images/products/5684/5684501_sa.jpg,https://api.bestbuy.com/click/-/5684501/pdp
2017_09_08,5746700,Sharp,"Sharp - 32"" Class (31.5"" Diag.) - LED - 720p - Smart - HDTV Roku TV",796.0,606.0,503,548,4.3,58.0,https://img.bbystatic.com/BestBuy_US/images/products/5746/5746700_sa.jpg,https://api.bestbuy.com/click/-/5746700/pdp
2017_09_08,5733205,Toshiba,"Toshiba - 43"" Class (42.5"" Diag.) - LED - 1080p - with Chromecast Built-in - HDTV",842.0,673.0,216,294,4.7,23.0,https://img.bbystatic.com/BestBuy_US/images/products/5733/5733205_sa.jpg,https://api.bestbuy.com/click/-/5733205/pdp
2017_09_08,5871004,Samsung,"Samsung - 28"" Class (27.5"" Diag.) - LED - 720p - Smart - HDTV",933.0,1009.0,1012,1016,5.0,2.0,https://img.bbystatic.com/BestBuy_US/images/products/5871/5871004_sa.jpg,https://api.bestbuy.com/click/-/5871004/pdp
2017_09_08,5768401,Samsung,"Samsung - 40"" Class (39.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",952.0,641.0,601,622,4.7,554.0,https://img.bbystatic.com/BestBuy_US/images/products/5768/5768401_sa.jpg,https://api.bestbuy.com/click/-/5768401/pdp
2017_09_08,5679628,Insignia™,"Insignia™ - 55"" Class (54.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV Roku TV",956.0,685.0,604,634,4.7,82.0,https://img.bbystatic.com/BestBuy_US/images/products/5679/5679628_sa.jpg,https://api.bestbuy.com/click/-/5679628/pdp
2017_09_08,5678701,Insignia™,"Insignia™ - 43"" Class (42.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV Roku TV",963.0,885.0,325,418,4.5,229.0,https://img.bbystatic.com/BestBuy_US/images/products/5678/5678701_sa.jpg,https://api.bestbuy.com/click/-/5678701/pdp
2017_09_08,5754805,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1029.0,706.0,629,656,4.7,284.0,https://img.bbystatic.com/BestBuy_US/images/products/5754/5754805_sa.jpg,https://api.bestbuy.com/click/-/5754805/pdp
2017_09_08,7068146,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - 1080p - Smart - HDTV",1041.0,1146.0,715,843,4.6,3295.0,https://img.bbystatic.com/BestBuy_US/images/products/7068/7068146_sa.jpg,https://api.bestbuy.com/click/-/7068146/pdp
2017_09_08,5768700,Samsung,"Samsung - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1044.0,764.0,670,701,4.6,119.0,https://img.bbystatic.com/BestBuy_US/images/products/5768/5768700_sa.jpg,https://api.bestbuy.com/click/-/5768700/pdp
2017_09_08,5746805,Sharp,"Sharp - 50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV Roku TV",1102.0,794.0,784,812,5.0,3.0,https://img.bbystatic.com/BestBuy_US/images/products/5746/5746805_sa.jpg,https://api.bestbuy.com/click/-/5746805/pdp
2017_09_08,5878705,TCL,"TCL - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range Roku TV",1139.0,1186.0,781,920,4.6,128.0,https://img.bbystatic.com/BestBuy_US/images/products/5878/5878705_sa.jpg,https://api.bestbuy.com/click/-/5878705/pdp
2017_09_08,5878701,TCL,"TCL - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV Roku TV",1148.0,914.0,710,779,4.7,76.0,https://img.bbystatic.com/BestBuy_US/images/products/5878/5878701_sa.jpg,https://api.bestbuy.com/click/-/5878701/pdp
2017_09_08,5871011,Samsung,"Samsung - 32"" Class (31.5"" Diag.) - LED - 1080p - Smart - HDTV",1264.0,1091.0,922,1014,4.1,7.0,https://img.bbystatic.com/BestBuy_US/images/products/5871/5871011_sa.jpg,https://api.bestbuy.com/click/-/5871011/pdp
2017_09_08,5871001,Samsung,"Samsung - 24"" Class (23.5"" Diag.) - LED - 720p - Smart - HDTV",1275.0,1163.0,1173,1173,,,https://img.bbystatic.com/BestBuy_US/images/products/5871/5871001_sa.jpg,https://api.bestbuy.com/click/-/5871001/pdp
2017_09_08,5754306,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",1313.0,994.0,1031,1036,4.7,217.0,https://img.bbystatic.com/BestBuy_US/images/products/5754/5754306_sa.jpg,https://api.bestbuy.com/click/-/5754306/pdp
2017_09_08,5762810,VIZIO,"VIZIO - 39"" Class (38.5"" Diag.) - LED - 1080p - Smart - HDTV",1316.0,1142.0,994,1059,4.6,60.0,https://img.bbystatic.com/BestBuy_US/images/products/5762/5762810_sa.jpg,https://api.bestbuy.com/click/-/5762810/pdp
2017_09_08,5748203,Sony,"Sony - 75"" Class (74.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1340.0,851.0,857,886,4.7,300.0,https://img.bbystatic.com/BestBuy_US/images/products/5748/5748203_sa.jpg,https://api.bestbuy.com/click/-/5748203/pdp
2017_09_08,5712448,Insignia™,"Insignia™ - 24"" Class (23.6"" Diag.) - LED - 720p - Smart - HDTV Roku TV",1349.0,1081.0,916,1011,4.2,34.0,https://img.bbystatic.com/BestBuy_US/images/products/5712/5712448_sa.jpg,https://api.bestbuy.com/click/-/5712448/pdp
2017_09_08,5748206,Sony,"Sony - 65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1394.0,912.0,799,871,4.7,423.0,https://img.bbystatic.com/BestBuy_US/images/products/5748/5748206_sa.jpg,https://api.bestbuy.com/click/-/5748206/pdp
2017_09_08,5866700,Hisense,"Hisense - 50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",1421.0,731.0,662,698,4.4,72.0,https://img.bbystatic.com/BestBuy_US/images/products/5866/5866700_sa.jpg,https://api.bestbuy.com/click/-/5866700/pdp
2017_09_08,5400401,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",1441.0,1162.0,699,844,4.7,983.0,https://img.bbystatic.com/BestBuy_US/images/products/5400/5400401_sa.jpg,https://api.bestbuy.com/click/-/5400401/pdp
2017_09_08,5746801,Sharp,"Sharp - 43"" Class (42.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV Roku TV",1492.0,798.0,744,790,4.7,7.0,https://img.bbystatic.com/BestBuy_US/images/products/5746/5746801_sa.jpg,https://api.bestbuy.com/click/-/5746801/pdp
